行政區,建照年度,完工年度,建案名稱,基地面積(坪),建蔽面積(坪),建蔽率(%),容積率(%),公設比(%),棟數,地上樓層,地下樓層,總戶數,平面車位,機械車位,總車位數,預估工期,建造執照,預估工期.1,投資建設,建築設計,營造公司,企劃銷售,結構工程,座向規劃,車位規劃,車位配比,用途規劃,土地分區,管理費用,景觀設計,公設設計,燈光設計,棟戶規劃,樓層規劃,基地地址,建材說明,url,爬蟲耗時(秒),更新日期,sell type
北投區,NA,112,原禾御,252.0,113,45.0,225,34,1,8,2,32,29,0,29,NA,NA,NA,朋記建設,陳傳宗建築師事務所,益昌營造,賦盈廣告行銷,RC,朝北,平面式29個、無充電樁,1:0.91,住商用,第三種住宅區,暫無,NA,NA,NA,1幢，1棟，27戶住家，5戶店面,"地上8層,地下2層",台北市北投區大興街與清江路口,◆全面淨化：高效能紫外光電梯除菌清淨機。◆純淨濾水：櫻花高效廚下型冷熱淨飲系統。◆24HRS氣密：(6+6)mm膠合玻璃＋不二鋁窗。◆靜音工程：日本大健室內門＋德國靜音木地板。◆貼心廚具：櫻花整體廚具＋全嵌式洗碗機。◆頂級衛浴：精品KOHLER衛浴，美型工藝精緻所享。,https://market.591.com.tw/3677044,53,2022-10-27,market
北投區,NA,112,公園大院-森活館,116.0,79,68.77,560,33,1,14,2,44,0,20,20,NA,NA,NA,馥域建設、欣聯建設、首敦建設,邑相聯合建築事務所,合聯營造,政安廣告,RC,朝北、朝南、朝西南、朝東北,機械式20個、無充電樁,1:0.45,住商用,第三種商業區,暫無,NA,NA,NA,1幢，1棟，41戶住家，3戶店面,"地上14層,地下2層",台北市北投區中和街219-3號,台灣櫻花整體廚房、日本INAX衛浴設備、YALE電子鎖、STUDOR吸氣閥、長庚諧振活水設備、中華氣密窗。,https://market.591.com.tw/101991,53,2022-10-26,market
北投區,NA,112,公園大院-樂活館,70.0,49,70.0,560,34,1,13,3,35,0,19,19,NA,NA,NA,馥域建設、欣聯建設、首敦建設,邑相聯合建築事務所,合聯營造,政安廣告,RC,朝東、朝東北、朝東南,機械式19個、無充電樁,1:0.54,住商用,第三種商業區,100元/坪/月,NA,NA,NA,1棟，34戶住家，1戶店面,"地上13層,地下3層",台北市北投區中和街219號,RC鋼筋混凝土、台灣櫻花整體廚房、日本INAX衛浴設備、YALE電子鎖、STUDOR吸氣閥、長庚諧振活水設備、中華氣密窗。,https://market.591.com.tw/101796,54,2022-10-26,market
北投區,NA,111,恆合江山,643.0,289,45.0,225,32,2,20,4,78,97,60,157,NA,NA,NA,恆合建設,李岳軍,恆合營造,創意家行銷,SRC,朝西南,平面式97個、機械式60個、無充電樁,1:2.01,住商用,第三種住宅區、第三之二種住宅區,100元/戶/月,遊墨設計-仙入洋,NA,NA,2棟，74戶住家，4戶店面,"地上20層,地下4層",台北市北投區承德路七段166~168號,待定,https://market.591.com.tw/34794,54,2022-10-27,market
北投區,NA,111,陽明迴鄉,94.0,32,34.9,120,36.4,1,7,2,11,3,3,6,NA,NA,NA,寶程國際,蔡家欣建築師事務所,奕捷營造,得邦廣告,RC,朝北,平面式3個、機械式3個、無充電樁,1:0.55,住家用,第二種住宅區,100元/坪/月,森恒空間-林世昌總監,森恒空間-林世昌總監,森恒空間-林世昌總監,1幢，1棟，11戶住家,"地上7層,地下2層",台北市北投區翠嶺路8號,樓層板隔音墊，日本皇室御用品牌INAX衛浴，櫻花廚具，YKK氣密窗，BOSCH電子門鎖，長庚生技活水設備，全棟冠軍磁磚，維夫拉克門禁系統。,https://market.591.com.tw/5475222,53,2022-10-26,market
北投區,NA,110,晴山學,1109.0,386,34.82,120,31.5,2,5,2,54,49,5,54,NA,NA,NA,保誠興業、弘新建設,黃翔龍建築師事務所,陽明營造,文樺行銷,RC,朝東北,平面式49個、機械式5個、無充電樁,1:1,住家用,第二種住宅區,100元/坪/月,NA,NA,NA,2棟，54戶住家,"地上5層,地下2層",台北市北投區稻香路180號旁,依現場為主,https://market.591.com.tw/101488,54,2022-10-26,market
北投區,NA,110,一樹巷,262.0,73,28.22,120,30.92,1,7,2,34,4,16,20,NA,NA,NA,康景建設,陳肇勳建築師事務所,待定,萬海行銷,RC,朝西北、朝西南、朝東北、朝東南,平面式4個、機械式16個、無充電樁,1:0.59,住家用,第二種住宅區,80元/戶/月,NA,家宜,NA,1棟，34戶住家,"地上7層,地下2層",台北市北投區大屯路5號旁,"1.智能宅概念-i-Building光纖網路及雲端APP平台,利用雲端app可遠端監控門禁系統,居家電器控制等,預留電動車充電設備線路以因應未來需求,ftth光纖到府2.健康宅概念-愛惠浦全戶濾淨活水,讓家中每一個水龍頭流出的水都經過清淨過濾,並在廚具設冷光殺菌生飲之系統3.健康宅概念-光觸媒殺菌電梯、從進到電梯開始即開始維護住戶的健康4.健康宅概念-排水通氣防疫系統studor,有效阻絕透由排水管道的病媒進入5.貼心宅概念-戶戶配置免治馬桶,玄關便利掛勾設計,社區一通卡連接門禁電梯,垃圾冷藏分類,屋頂空中花園。",https://market.591.com.tw/102024,54,2022-10-26,market
南港區,110,112,中研苑士,217.0,65,30.08,120,34,1,5,2,13,1,13,14,2,110建字第0131號,2,大廣建設,王誌慶建築師事務所,待定,自售,RC鋼筋混凝土結構,朝東,平面式1個、機械式13個,1:1.08,住家用,第二種住宅區,待定,無,無,無,1幢，1棟，13戶住家,地上5層，地下2層,台北市南港區南深路21巷,待定。,https://newhouse.591.com.tw/125020/detail,82,2022-10-27,newhouse
南港區,110,116,全陽馥,922.0,282,30.6,225,32,1,24,4,174,113,36,149,6,110建字第0245號,6,全陽建設,鍾美惠建築師事務所,久和營造工程,璞煦廣告,RC鋼筋混凝土結構,朝東南,平面式113個、機械式36個,1:0.86,住商用,住宅區,待定,老圃造園工程,老圃造園工程,郭陞弘,1幢，1棟，164戶住家，10戶店面,地上24層，地下4層,台北市南港區經貿一路160號,依現場為主,https://newhouse.591.com.tw/127992/detail,83,2022-10-26,newhouse
南港區,NA,114,國泰悠境,761.0,255,33.54,225,34,2,17,4,120,148,0,148,NA,NA,NA,國泰建設,闕河彬建築師事務所,待定,新聯陽實業--新聯昌廣告,RC,朝北、朝南,平面式148個、有充電樁,1:1.23,住商用,第三種住宅區,120元/坪/月,NA,NA,NA,1幢，2棟，118戶住家，2戶店面,"地上17層,地下4層",台北市南港區向陽路120巷與向陽路120巷2弄交叉口,待定,https://market.591.com.tw/5855935,57,2022-10-26,market
