,1月_每日上班人數,1月平均通勤時間,2月_每日上班人數,2月平均通勤時間,3月_每日上班人數,3月平均通勤時間,4月_每日上班人數,4月平均通勤時間,5月_每日上班人數,5月平均通勤時間,6月_每日上班人數,6月平均通勤時間,7月_每日上班人數,7月平均通勤時間,8月_每日上班人數,8月平均通勤時間,9月_每日上班人數,9月平均通勤時間,10月_每日上班人數,10月平均通勤時間,11月_每日上班人數,11月平均通勤時間,出站平均,平均通勤時間
新北產業園區,1272,0,1175,0,1674,0,3780,0,1234,0,425,0,916,0,8096,0,1412,0,1275,0,2376,0,1074,0.0
菜寮,2872,0,3542,0,4983,0,2107,0,2293,0,450,0,876,0,888,0,674,0,2246,0,1815,0,1033,0.0
後山埤,1078,0,1429,0,1257,0,608,0,1275,0,1406,0,680,0,729,0,1878,0,8864,0,3136,0,1015,0.0
海山,1194,0,1133,0,1762,0,1916,0,323,0,2341,0,2156,0,4174,0,3082,0,1228,0,2789,0,1004,0.0
先嗇宮,3514,0,2515,0,4971,0,2874,0,697,0,1598,0,495,0,968,0,781,0,973,0,2668,0,1002,0.0
台北橋,2179,0,702,0,4364,0,534,0,4323,0,1067,0,1231,0,277,0,2032,0,3817,0,949,0,976,0.0
忠義,2770,0,254,0,1853,0,5978,0,771,0,336,0,2875,0,1785,0,841,0,1510,0,1662,0,937,0.0
土城,1151,0,1171,0,1376,0,4159,0,3634,0,744,0,1203,0,2903,0,786,0,1086,0,1212,0,882,0.0
頂溪,3154,0,1286,0,3908,0,367,0,862,0,846,0,1473,0,2591,0,278,0,238,0,4013,0,864,0.0
中和,3091,0,1280,0,2991,0,2501,0,821,0,394,0,108,0,1783,0,1018,0,3914,0,995,0,858,0.0
新莊,2735,0,556,0,6037,0,2756,0,697,0,158,0,714,0,547,0,967,0,892,0,1613,0,803,0.0
奇岩,1977,0,1431,0,3043,0,2798,0,1117,0,508,0,988,0,795,0,1382,0,772,0,2420,0,783,0.0
小碧潭,615,0,975,0,1445,0,1289,0,3283,0,845,0,1245,0,1579,0,3551,0,1843,0,562,0,783,0.0
復興崗,841,0,2119,0,583,0,5535,0,560,0,927,0,1551,0,700,0,951,0,1906,0,714,0,744,0.0
景平,2198,0,1180,0,2170,0,1344,0,1523,0,274,0,847,0,3125,0,1766,0,189,0,830,0,702,0.0
唭哩岸,1745,0,699,0,627,0,2321,0,1531,0,678,0,1005,0,272,0,2036,0,2215,0,1322,0,656,0.0
Y板橋,1023,0,637,0,2185,0,2030,0,441,0,123,0,345,0,277,0,4188,0,527,0,2298,0,639,0.0
竹圍,752,0,1776,0,1430,0,2525,0,701,0,1155,0,844,0,761,0,166,0,2031,0,1604,0,624,0.0
蘆洲,1425,0,2478,0,1053,0,625,0,1757,0,640,0,731,0,740,0,387,0,2305,0,896,0,592,0.0
新北投,1863,0,1721,0,1395,0,1321,0,1134,0,146,0,186,0,1724,0,820,0,888,0,1436,0,574,0.0
中原,777,0,373,0,1395,0,718,0,357,0,367,0,752,0,536,0,1768,0,608,0,2148,0,445,0.0
新埔民生,439,0,1542,0,2445,0,535,0,534,0,249,0,190,0,153,0,572,0,1146,0,423,0,374,0.0
幸福,1341,0,888,0,1032,0,764,0,1028,0,463,0,369,0,512,0,563,0,678,0,583,0,373,0.0
板新,2348,0,718,0,815,0,198,0,136,0,213,0,276,0,393,0,631,0,1317,0,797,0,356,0.0
十四張,207,0,376,0,814,0,1694,0,526,0,269,0,427,0,1189,0,284,0,388,0,624,0,309,0.0
秀朗橋,1480,0,197,0,462,0,434,0,291,0,77,0,558,0,476,0,1196,0,850,0,210,0,283,0.0
