鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.29,住,,,1110101,土地5建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.45,3,2,2,有,無,41550000,323711,坡道平面,40.59,2750000,,RPRNMLOLJHHGFDA27CB,國泰悠境,A棟A1-11F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,24.04,住,,,1101231,土地5建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.91,3,2,2,有,無,51720000,329201,坡道平面,81.18,6050000,,RPSNMLOLJHHGFDA37CB,國泰悠境,B棟B1-15F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.76,住,,,1101227,土地5建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.5,3,2,2,有,無,42130000,324043,坡道平面,40.59,2950000,,RPTNMLOLJHHGFDA47CB,國泰悠境,A棟A3-9F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110108,土地5建物1車位1,十層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,28520000,330654,坡道平面,40.59,2600000,,RPUNMLOLJHHGFDA57CB,國泰悠境,A棟A5-10F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.76,住,,,1110108,土地5建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.5,3,2,2,有,無,43160000,331321,坡道平面,40.59,3100000,,RPVNMLOLJHHGFDA67CB,國泰悠境,A棟A3-11F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.26,住,,,1110105,土地5建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.31,3,2,2,有,無,41360000,322503,坡道平面,40.59,2750000,,RPWNMLOLJHHGFDA77CB,國泰悠境,A棟A6-9F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,21.04,住,,,1101230,土地5建物1車位1,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,163.01,3,2,2,有,無,42500000,323068,坡道平面,40.59,2950000,,RPXNMLOLJHHGFDA87CB,國泰悠境,A棟A2-4F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.26,住,,,1110108,土地5建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.31,3,2,2,有,無,40840000,315236,坡道平面,40.59,3100000,,RPOOMLOLJHHGFDA07CB,國泰悠境,A棟A6-12F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,24.04,住,,,1110103,土地5建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.91,3,2,2,有,無,51490000,328624,坡道平面,81.18,5900000,,RPPOMLOLJHHGFDA17CB,國泰悠境,B棟B1-14F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110107,土地5建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,28480000,325679,坡道平面,40.59,2950000,,RPQOMLOLJHHGFDA27CB,國泰悠境,A棟A5-12F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,30.77,住,,,1101229,土地5建物1車位2,五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,259.49,3,2,2,有,無,59700000,302563,坡道平面,81.18,5750000,,RPROMLOLJHHGFDA37CB,國泰悠境,A棟A1-5F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.97,住,,,1101230,土地5建物1車位2,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,201.85,3,2,2,有,無,44090000,319798,坡道平面,81.18,5500000,,RPSOMLOLJHHGFDA47CB,國泰悠境,A棟A4-12F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110110,土地5建物1車位1,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,28910000,333716,坡道平面,40.59,2750000,,RPTOMLOLJHHGFDA57CB,國泰悠境,A棟A5-15F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110111,土地5建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,28720000,331292,坡道平面,40.59,2750000,,RPUOMLOLJHHGFDA67CB,國泰悠境,A棟A5-11F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110107,土地5建物1車位1,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,29250000,335502,坡道平面,40.59,2950000,,RPVOMLOLJHHGFDA77CB,國泰悠境,A棟A2-13F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110108,土地5建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,29350000,334864,坡道平面,40.59,3100000,,RPWOMLOLJHHGFDA87CB,國泰悠境,A棟A2-12F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110106,土地5建物1車位1,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,29000000,336778,坡道平面,40.59,2600000,,RPXOMLOLJHHGFDA97CB,國泰悠境,A棟A2-15F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,35.05,住,,,1101228,土地5建物1車位2,四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,283.4,4,2,3,有,無,69550000,314014,坡道平面,81.18,6050000,,RPOPMLOLJHHGFDA17CB,國泰悠境,A棟A4-4F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,23.74,住,,,1110105,土地5建物1車位2,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.06,3,2,2,有,無,50830000,325863,坡道平面,81.18,5900000,,RPPPMLOLJHHGFDA27CB,國泰悠境,B棟B2-12F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,23.74,住,,,1101230,土地5建物1車位2,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,219.06,3,2,2,有,無,51280000,329127,坡道平面,81.18,5900000,露臺戶,RPQPMLOLJHHGFDA37CB,國泰悠境,B棟B2-2F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.97,住,,,1110109,土地5建物1車位2,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,201.85,3,2,2,有,無,45430000,327588,坡道平面,81.18,5900000,,RPRPMLOLJHHGFDA47CB,國泰悠境,A棟A4-15F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.29,住,,,1101229,土地5建物1車位1,九層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.45,3,2,2,有,無,41260000,322543,坡道平面,40.59,2600000,,RPSPMLOLJHHGFDA57CB,國泰悠境,A棟A1-9F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,13.71,住,,,1110108,土地5建物1車位1,十四層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,118.98,2,2,1,有,無,28860000,333078,坡道平面,40.59,2750000,,RPTPMLOLJHHGFDA67CB,國泰悠境,A棟A5-14F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.76,住,,,1110117,土地5建物1車位1,十二層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.5,3,2,2,有,無,42510000,328840,坡道平面,40.59,2750000,,RPUPMLOLJHHGFDA77CB,國泰悠境,A棟A3-12F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.26,住,,,1110108,土地5建物1車位1,八層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,160.31,3,2,2,有,無,41490000,321918,坡道平面,40.59,2950000,,RPVPMLOLJHHGFDA87CB,國泰悠境,A棟A6-8F號
南港區,房地(土地+建物)+車位,臺北市南港區向陽路120巷2弄,20.71,住,,,1101229,土地5建物1車位1,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.26,3,2,2,有,無,41610000,319135,坡道平面,40.59,3100000,,RPWPMLOLJHHGFDA97CB,國泰悠境,A棟A4-11F號
